187,0101000020E61000006F33709B048F5EC076DF313CF6DD4240,0104300,55476,Mecartney Rd:Melrose Av,21,['21']
188,0101000020E6100000F69BE4A2B5915EC021AA95AE05E34240,0104310,55444,Webster St:Santa Clara Av,O W 20 314 51A 631 663 851,"['W', '20', '314', '631', '663', '851']"
189,0101000020E6100000232E008DD28F5EC067B62BF4C1E24240,0104330,53422,Buena Vista Av:Willow St,19,['19']
190,0101000020E610000062AC25D3578F5EC02345099F52E24240,0104370,50611,Buena Vista Av:Park St,19,['19']
192,0101000020E610000075A84B6BF88F5EC0FBACD799E7E04240,0104390,55519,Alameda South Shore Center At Park St,20 314 356,"['20', '314', '356']"
193,0101000020E6100000BF7FF3E2448F5EC05DFA97A432E14240,0104400,53466,Encinal Av:Versailles Av,O OX 631 663,"['OX', '631', '663']"
194,0101000020E61000004CD5873F548F5EC0CF9ECBD424DE4240,0104450,55049,Mecartney Rd:Island Dr,21 OX 631 687,"['21', '631', '687']"
195,0101000020E6100000D23F1C7FFD8E5EC05783E62961E24240,0104460,58677,Broadway:Blanding Av,W 19 51A 851,"['19', '851']"
196,0101000020E61000003A6A9615D48E5EC045A0FA0791DD4240,0104470,58754,Maitland Dr:Fitchburg Av,21,['21']
197,0101000020E610000093533BC3D48E5EC01E0B1BAF8ADD4240,0104480,50578,Maitland Dr:Fitchburg Av,21,['21']
198,0101000020E6100000896E0734A2925EC0751A0EF049E34240,0104510,53545,Central Av:Pacific Av,663,['663']
199,0101000020E61000006EE23F387A925EC01702CAF0E9E24240,0104530,51615,Central Av:3rd St,631 663,"['631', '663']"
201,0101000020E6100000F3CC261B6A925EC06AB290CA5EE34240,0104570,56512,Pacific Av:3rd St,96 631 663,"['96', '631', '663']"
202,0101000020E6100000B6EE8BF09B925EC039984D8061E34240,0104590,52578,Pacific Av:Central Av,96,['96']
203,0101000020E6100000E72E2EFAAF915EC0A0E293A9DDE34240,0104600,59400,Webster St:Atlantic Av,O W 19 20 314 51A 851,"['W', '19', '20', '314', '851']"
204,0101000020E6100000A34BEE667C8F5EC0C171193735DE4240,0104700,55858,Mecartney Rd:Belmont Place,21 OX 631 687,"['21', '631', '687']"
205,0101000020E6100000F152A00557915EC071E07AB9F4E34240,0104720,50236,Atlantic Av:Challenger Dr,19 96,"['19', '96']"
206,0101000020E6100000D2109F85CE925EC09CB92CCB7CE44240,0104730,50243,W Midway Av:Orion St,96,['96']
208,0101000020E6100000694991C632935EC001BEDBBC71E44240,0104760,50257,W Ranger Av:#650,96,['96']
209,0101000020E6100000F2272A1B56935EC0E1B2AFE18EE44240,0104770,50258,Saratoga St:W Midway Av,96,['96']
210,0101000020E6100000C75D2970D7925EC0EB2E9ADF7AE44240,0104780,50259,W Midway Av:Orion St,96,['96']
211,0101000020E6100000E4A08499B6915EC009AE4DBE34E44240,0104790,50541,Webster St:Stargell Av,O W 19 20 314 51A 851,"['W', '19', '20', '314', '851']"
213,0101000020E6100000CB10C7BAB8935EC0773A4668BAF24240,0200010,55064,Bayside Common Condominiums,L 80 LC,['80']
